"PassengerId","Survived"
892,0
893,0
894,1
895,0
896,0
897,0
898,1
899,0
900,1
901,0
902,1
903,1
904,0
905,0
906,1
907,1
908,0
909,0
910,0
911,1
912,1
913,1
914,1
915,1
916,0
917,0
918,1
919,1
920,1
921,0
922,0
923,1
924,0
925,1
926,1
927,1
928,0
929,1
930,1
931,0
932,0
933,1
934,1
935,1
936,1
937,0
938,1
939,1
940,0
941,0
942,0
943,0
944,0
945,0
946,1
947,0
948,0
949,0
950,1
951,0
952,0
953,1
954,1
955,1
956,0
957,0
958,0
959,0
960,0
961,1
962,0
963,0
964,1
965,1
966,1
967,1
968,1
969,1
970,1
971,0
972,0
973,1
974,1
975,1
976,0
977,1
978,1
979,0
980,0
981,1
982,1
983,0
984,0
985,0
986,1
987,0
988,1
989,0
990,0
991,1
992,0
993,0
994,0
995,0
996,1
997,1
998,1
999,1
1000,0
1001,1
1002,1
1003,1
1004,0
1005,0
1006,1
1007,0
1008,1
1009,1
1010,0
1011,1
1012,0
1013,0
1014,0
1015,1
1016,0
1017,0
1018,1
1019,1
1020,1
1021,0
1022,0
1023,1
1024,1
1025,0
1026,1
1027,0
1028,0
1029,0
1030,0
1031,1
1032,1
1033,0
1034,0
1035,1
1036,0
1037,1
1038,1
1039,0
1040,0
1041,0
1042,1
1043,1
1044,0
1045,0
1046,1
1047,1
1048,1
1049,1
1050,0
1051,1
1052,1
1053,1
1054,0
1055,0
1056,0
1057,0
1058,0
1059,1
1060,1
1061,1
1062,0
1063,0
1064,1
1065,1
1066,1
1067,0
1068,1
1069,1
1070,0
1071,1
1072,0
1073,1
1074,1
1075,1
1076,0
1077,0
1078,0
1079,0
1080,0
1081,1
1082,1
1083,0
1084,0
1085,1
1086,1
1087,0
1088,0
1089,1
1090,0
1091,1
1092,0
1093,1
1094,1
1095,1
1096,0
1097,1
1098,1
1099,1
1100,0
1101,0
1102,0
1103,1
1104,0
1105,0
1106,0
1107,1
1108,1
1109,1
1110,0
1111,0
1112,1
1113,0
1114,1
1115,1
1116,0
1117,1
1118,0
1119,0
1120,0
1121,0
1122,1
1123,0
1124,1
1125,1
1126,0
1127,0
1128,0
1129,1
1130,1
1131,1
1132,0
1133,1
1134,1
1135,1
1136,0
1137,1
1138,1
1139,0
1140,0
1141,0
1142,0
1143,1
1144,0
1145,0
1146,1
1147,1
1148,0
1149,0
1150,1
1151,1
1152,0
1153,1
1154,0
1155,1
1156,1
1157,1
1158,0
1159,0
1160,1
1161,1
1162,1
1163,1
1164,0
1165,0
1166,1
1167,1
1168,0
1169,0
1170,1
1171,0
1172,0
1173,0
1174,0
1175,0
1176,1
1177,1
1178,1
1179,1
1180,0
1181,0
1182,0
1183,1
1184,0
1185,1
1186,0
1187,0
1188,1
1189,1
1190,1
1191,1
1192,1
1193,1
1194,1
1195,1
1196,0
1197,1
1198,0
1199,1
1200,1
1201,1
1202,0
1203,1
1204,0
1205,0
1206,0
1207,1
1208,1
1209,1
1210,1
1211,1
1212,0
1213,1
1214,1
1215,1
1216,0
1217,1
1218,1
1219,1
1220,1
1221,1
1222,0
1223,0
1224,0
1225,1
1226,0
1227,0
1228,1
1229,0
1230,1
1231,1
1232,1
1233,0
1234,1
1235,0
1236,0
1237,0
1238,1
1239,1
1240,0
1241,1
1242,0
1243,0
1244,1
1245,0
1246,0
1247,0
1248,1
1249,0
1250,1
1251,0
1252,0
1253,0
1254,1
1255,0
1256,1
1257,1
1258,0
1259,0
1260,1
1261,1
1262,1
1263,1
1264,0
1265,0
1266,0
1267,0
1268,0
1269,0
1270,0
1271,1
1272,0
1273,0
1274,0
1275,0
1276,1
1277,1
1278,0
1279,1
1280,1
1281,1
1282,0
1283,0
1284,1
1285,0
1286,1
1287,1
1288,0
1289,0
1290,1
1291,0
1292,1
1293,0
1294,0
1295,0
1296,1
1297,1
1298,1
1299,1
1300,1
1301,0
1302,0
1303,1
1304,0
1305,1
1306,0
1307,1
1308,0
1309,1
